BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,MAIN_ADDRESS,SUBLOCALITY
Brown Harris Stevens,Co-op for sale,675000,1,1,2184.207862,"160 Ninth Ave Unit 1RManhattan, NY 10011",New York
Brown Harris Stevens,Co-op for sale,199900,1,1,2184.207862,"828 Gerard Ave Apt 5FBronx, NY 10451",Bronx County
Brown Harris Stevens,Co-op for sale,205000,1,1,2184.207862,"2750 Johnson Ave Apt 5CBronx, NY 10463",Bronx County
Brown Harris Stevens,Co-op for sale,140000,1,1,2184.207862,"828 Gerard Ave Apt 4GBronx, NY 10451",Bronx County
Brown Harris Stevens,Condo for sale,779000,1,1,638,"250 E 30th St Apt 6BManhattan, NY 10016",New York
Brown Harris Stevens,Co-op for sale,280000,1,1,1000,"8015 6th Ave Apt A1Brooklyn, NY 11209",Brooklyn
Brown Harris Stevens,Co-op for sale,439000,1,1,2184.207862,"212 E 84th St Apt 2CManhattan, NY 10028",New York
Brown Harris Stevens,Co-op for sale,192500,1,1,2184.207862,"555 Kappock St Apt 12FBronx, NY 10463",Bronx County
Brown Harris Stevens,Co-op for sale,385000,1,1,900,"2500 Johnson Ave Apt 12MBronx, NY 10463",Bronx County
Brown Harris Stevens,Condo for sale,995000,1,1,2184.207862,"305 Second Ave Unit 20Manhattan, NY 10003",New York
Brown Harris Stevens,Co-op for sale,239000,1,1,750,"3103 Fairfield Ave Apt 10JBronx, NY 10463",Bronx County
Brown Harris Stevens,Co-op for sale,479000,1,1,2184.207862,"335 W 85th St Apt 4AManhattan, NY 10024",New York
Brown Harris Stevens,Co-op for sale,800000,1,1,2184.207862,"9 Barrow St Apt 6GManhattan, NY 10014",New York
Brown Harris Stevens,Co-op for sale,565000,1,1,2184.207862,"107 W 70th St Apt 4FManhattan, NY 10023",New York
Brown Harris Stevens,Co-op for sale,399000,1,1,2184.207862,"445 E 86th St Apt 3JManhattan, NY 10028",New York
Brown Harris Stevens,Co-op for sale,329000,1,1,2184.207862,"187 Pinehurst Ave Apt 4IManhattan, NY 10033",New York
Brown Harris Stevens,Co-op for sale,205000,1,1,1000,"3475 Greystone Ave Apt 4CBronx, NY 10463",Bronx County
Brown Harris Stevens,Co-op for sale,160000,1,1,2184.207862,"5601 Riverdale Ave Apt 3SBronx, NY 10471",Bronx County
Brown Harris Stevens,Co-op for sale,629000,1,1,2184.207862,"504 W 111th St Apt 34Manhattan, NY 10025",New York
Brown Harris Stevens,Co-op for sale,599000,1,1,800,"568 Grand St Apt J102Manhattan, NY 10002",New York
Brown Harris Stevens,Co-op for sale,300000,1,1,2184.207862,"209 W 118th St Apt 2FManhattan, NY 10026",New York
Brown Harris Stevens,Condo for sale,1750000,1,1,937,"114 E 13th St Apt 3DManhattan, NY 10003",New York
Brown Harris Stevens,Co-op for sale,185000,1,1,2184.207862,"789 Macdonough St Apt 4GBrooklyn, NY 11233",Brooklyn
Brown Harris Stevens,Co-op for sale,385000,1,1,2184.207862,"8701 Shore Rd Apt 432Brooklyn, NY 11209",Brooklyn
Brown Harris Stevens,Pending,1250000,1,1,2184.207862,"17 W 10th St Apt 3NManhattan, NY 10011",New York
Brown Harris Stevens,Co-op for sale,595000,1,1,700,"425 E 51st St Apt 2GManhattan, NY 10022",New York
Brown Harris Stevens,Co-op for sale,675000,1,1,2184.207862,"1270 Fifth Ave Unit 12JManhattan, NY 10029",New York
Brown Harris Stevens,Co-op for sale,999000,1,1,2184.207862,"1010 Fifth Ave Unit 4BBManhattan, NY 10028",New York
Brown Harris Stevens,Co-op for sale,580000,1,1,712,"245 E 72nd St Apt 4EManhattan, NY 10021",New York
Brown Harris Stevens,Co-op for sale,935000,1,1,2184.207862,"781 Fifth Ave Unit 407Manhattan, NY 10022",New York
Brown Harris Stevens,Co-op for sale,935000,1,1,2184.207862,"781 Fifth Ave Unit 407Manhattan, NY 10022",New York
Brown Harris Stevens,Co-op for sale,775000,1,1,2184.207862,"401 W End Ave Unit 3EManhattan, NY 10024",New York
Brown Harris Stevens,Co-op for sale,849000,1,1,2184.207862,"263 W End Ave Apt 14CManhattan, NY 10023",New York
Brown Harris Stevens,Pending,375000,1,1,2184.207862,"162 E 2nd St Apt BManhattan, NY 10009",New York
Brown Harris Stevens,Pending,375000,1,1,2184.207862,"162 E 2nd St Apt BManhattan, NY 10009",New York
Brown Harris Stevens,Co-op for sale,775000,1,1,2184.207862,"401 W End Ave Unit 3EManhattan, NY 10024",New York
Brown Harris Stevens,Co-op for sale,250000,1,1,800,"6300 Riverdale Ave Apt 6CBronx, NY 10471",New York
Brown Harris Stevens,Co-op for sale,165000,1,1,750,"5614 Netherland Ave Apt 4BBronx, NY 10471",Bronx County
Brown Harris Stevens,Co-op for sale,165000,1,1,750,"5614 Netherland Ave Apt 4BBronx, NY 10471",Bronx County
Compass,Pending,499000,1,1,615,"265 W 131st St Apt 5Manhattan, NY 10027",New York
Compass,Co-op for sale,875000,1,1,2184.207862,"77 Bleecker St Apt 505Manhattan, NY 10012",New York
Compass,Co-op for sale,600000,1,1,715,"545 W 111th St Apt 2HManhattan, NY 10025",New York
Compass,Condo for sale,425000,1,1,603,"640 Ditmas Ave Apt 29Brooklyn, NY 11218",Brooklyn
Compass,Co-op for sale,209000,1,1,2184.207862,"200-18 17th Ave Unit 2-97Bayside, NY 11360",Brooklyn
Compass,Co-op for sale,695000,1,1,2184.207862,"205 W 54th St Apt 5DManhattan, NY 10019",New York
Compass,Co-op for sale,679000,1,1,2184.207862,"200 Cabrini Blvd Apt 117Manhattan, NY 10033",New York
Compass,Condo for sale,499000,1,1,630,"157 E 72nd St Apt 8IManhattan, NY 10021",New York
Compass,Condo for sale,725000,1,1,696,"190 Lefferts Pl Apt 5Brooklyn, NY 11238",Brooklyn
Compass,Co-op for sale,525000,1,1,715,"67 Park Ave Unit 8EManhattan, NY 10016",New York
Compass,Condo for sale,610000,1,1,673,"21 S End Ave Apt 435Manhattan, NY 10280",New York
Compass,Pending,420000,1,1,2184.207862,"18 E 63rd St Apt 9Manhattan, NY 10065",New York
Compass,Co-op for sale,349500,1,1,900,"111-39 76th Rd Unit F7Queens, NY 11375",Queens
Compass,Co-op for sale,850000,1,1,2184.207862,"32 Downing St Apt 2DManhattan, NY 10014",New York
Compass,Co-op for sale,310000,1,1,2184.207862,"5700 Arlington Ave Apt 2SBronx, NY 10471",Bronx County
Compass,Co-op for sale,525000,1,1,2184.207862,"1160 3rd Ave Apt 3DManhattan, NY 10065",New York
Compass,Co-op for sale,189990,1,1,2184.207862,"151-31 88th St Unit 2FHoward Beach, NY 11414",Queens
Compass,Condo for sale,795000,1,1,860,"350 E 62nd St Apt 3BManhattan, NY 10065",New York
Compass,Co-op for sale,359000,1,1,2184.207862,"229 E 81st St Unit GhManhattan, NY 10028",New York
Compass,Co-op for sale,875000,1,1,2184.207862,"15 W 72nd St Apt 5TManhattan, NY 10023",New York
Compass,Co-op for sale,575000,1,1,850,"118 E 60th St Apt 4BManhattan, NY 10022",New York
Compass,Co-op for sale,850000,1,1,2184.207862,"720 Greenwich St Apt 7KManhattan, NY 10014",New York
Compass,Co-op for sale,650000,1,1,2184.207862,"140 Cabrini Blvd Apt 82Manhattan, NY 10033",New York
Compass,Co-op for sale,265000,1,1,2184.207862,"1777 Madison Ave Apt 32Manhattan, NY 10035",New York
Compass,Co-op for sale,399000,1,1,2184.207862,"35-20 82nd St Unit 32BQueens, NY 11372",Queens
Compass,Pending,360000,1,1,2184.207862,"425 E 78th St Apt 1CManhattan, NY 10075",New York
Compass,Condo for sale,599000,1,1,626,"333 E 109th St Apt 2AManhattan, NY 10029",New York
Compass,Condo for sale,500000,1,1,720,"232 E 118th St Apt 5BManhattan, NY 10035",New York
Compass,Co-op for sale,350000,1,1,2184.207862,"340 Haven Ave Apt 6AManhattan, NY 10033",New York
Compass,Condo for sale,699000,1,1,616,"435 Tompkins Ave Unit 305Brooklyn, NY 11216",Brooklyn
Compass,Condo for sale,698000,1,1,2184.207862,"70 W 139th St Apt 8IManhattan, NY 10037",New York
Compass,Co-op for sale,230000,1,1,620,"255 W 108th St Apt 1FManhattan, NY 10025",New York
Compass,Condo for sale,845000,1,1,692,"510 E 80th St Apt 12DManhattan, NY 10075",New York
Compass,Pending,1099000,1,1,715,"2 Northside Piers Apt 6FBrooklyn, NY 11249",Brooklyn
Compass,Co-op for sale,995000,1,1,2184.207862,"250 W 22nd St Apt 4BManhattan, NY 10011",New York
Compass,Pending,420000,1,1,2184.207862,"18 E 63rd St Apt 9Manhattan, NY 10065",New York
Compass,Co-op for sale,545000,1,1,2184.207862,"28 W 87th St Apt 4AManhattan, NY 10024",New York
Compass,Condo for sale,1025000,1,1,787,"105 Norfolk St Apt 3AManhattan, NY 10002",New York
Compass,Co-op for sale,450000,1,1,2184.207862,"152 E 83rd St Apt 3DManhattan, NY 10028",New York
Compass,Condo for sale,595000,1,1,574,"26 W 127th St Unit GardenManhattan, NY 10027",New York
Compass,Condo for sale,750000,1,1,654,"129 Meserole St Apt 3BBrooklyn, NY 11206",Brooklyn
Compass,Condo for sale,649000,1,1,665,"145 W 129th St Apt 2Manhattan, NY 10027",New York
Compass,Co-op for sale,315000,1,1,2184.207862,"35-51 85th St Unit 6FQueens, NY 11372",Queens
Compass,Co-op for sale,635000,1,1,2184.207862,"305 W 86th St Unit 3CManhattan, NY 10024",New York
Compass,Co-op for sale,324000,1,1,2184.207862,"35-31 85th St Unit 7FQueens, NY 11372",Queens
Compass,Condo for sale,799000,1,1,2184.207862,"300 E 40th St Apt 30NManhattan, NY 10016",New York
Compass,Co-op for sale,399000,1,1,681,"138 71st St Apt A14Brooklyn, NY 11209",Brooklyn
Compass,Co-op for sale,560000,1,1,2184.207862,"320 E 42nd St Apt 3012Manhattan, NY 10017",New York
Compass,Co-op for sale,329000,1,1,2184.207862,"48-17 42nd St Unit 4BQueens, NY 11104",Queens
Compass,Co-op for sale,599000,1,1,2184.207862,"222 E 80th St Apt 3AManhattan, NY 10075",New York
Compass,Co-op for sale,555555,1,1,2184.207862,"622 W End Ave Apt 4EManhattan, NY 10024",New York
Compass,Co-op for sale,865000,1,1,2184.207862,"407 Park Ave S Apt 11DManhattan, NY 10016",New York
Compass,Co-op for sale,749000,1,1,2184.207862,"57 Thompson St Apt 2BManhattan, NY 10012",New York
Compass,Co-op for sale,399000,1,1,2184.207862,"34-41 85th St Unit 3UJackson Heights, NY 11372",Queens
Compass,Condo for sale,1100000,1,1,726,"88 Greenwich St Apt 2307Manhattan, NY 10006",New York
Compass,Co-op for sale,449500,1,1,2184.207862,"180 Thompson St Apt LdManhattan, NY 10012",New York
Compass,Condo for sale,2250000,1,1,2184.207862,"302 W 12th St Apt 7FManhattan, NY 10014",New York
Compass,Co-op for sale,459000,1,1,2184.207862,"88 Brooklyn Ave Apt A3Brooklyn, NY 11216",Brooklyn
Compass,Co-op for sale,865000,1,1,2184.207862,"407 Park Ave S Apt 11DManhattan, NY 10016",New York
Compass,Condo for sale,990000,1,1,791,"240 Riverside Blvd Apt 14NManhattan, NY 10069",New York
Compass,Condo for sale,848880,1,1,713,"11 E 36th St Ste 404Manhattan, NY 10016",New York
Compass,Condo for sale,990000,1,1,791,"240 Riverside Blvd Apt 14NManhattan, NY 10069",New York
Compass,Co-op for sale,125000,1,1,728,"2191 Bolton St Apt 5DBronx, NY 10462",Bronx County
